S2 LUI Lua binding table -- g_luiLuaBindings @ IDA 0x00B37F30, 664 entries
luaL_Reg {const char* name, lua_CFunction fn}, 16-byte stride.
Self-naming: name and pointer in the same record, so every name is PROVEN.

IsFlightPitchInverted                              0x00112000
ToggleAutoAim                                      0x001120D0
ToggleRenderColorBlind                             0x00112170
GetHorizontalSensitivity                           0x00112210
GetVerticalSensitivity                             0x001122D0
SetHorizontalSensitivity                           0x00112390
SetVerticalSensitivity                             0x00112460
IsColorBlindRendering                              0x00112530
ForceSelectSaveDevice                              0x00112600
MenuDvarsSetup                                     0x00112610
MenuDvarsFinish                                    0x00112690
GetTimePlayed                                      0x00112780
SetGameMode                                        0x00112C60
TableLookup                                        0x00112CF0
TableLookupByRow                                   0x00112ED0
TableLookupGetRowNum                               0x00113060
TableLookupGetRowCount                             0x00113250
TableExists                                        0x00113310
UsesMouseCursor                                    0x00113370
Exec                                               0x00113390
ExecFirstClient                                    0x001135C0
ExecNow                                            0x00113740
StartZombies                                       0x00113B70
StartZombiesWithParty                              0x00113BA0
StartMultiplayer                                   0x00113BD0
StartMultiplayerWithParty                          0x00113CB0
StartMPHub                                         0x00113D90
StartMPLocal                                       0x00113E70
StartMPLocalZombies                                0x00113FC0
StartSurvival                                      0x00114010
StartSingleplayer                                  0x00114020
SetBackgroundVideo                                 0x001140E0
PlayMenuVideo                                      0x00114240
StopMenuVideo                                      0x00114390
PauseMenuVideo                                     0x001143C0
IsVideoPaused                                      0x00114440
IsVideoFinished                                    0x00114480
IsVideoPlaying                                     0x001145B0
IsPlayingTail                                      0x00114600
InLoadingScreen                                    0x001146C0
IsLoadingVideoPlaying                              0x00114640
SkipLoadingVideoPlaying                            0x001146A0
IsConsoleGame                                      0x00114720
ClearError                                         0x00114770
ResolveError                                       0x00114800
ReportMemory                                       0x00114990
SetOldLocalVarInt                                  0x001149A0
SetOldLocalVarBool                                 0x00114AD0
SetOldLocalVarString                               0x00114C10
IsMultiplayer                                      0x00114D40
IsCoreMode                                         0x00114D60
IsCoreOnlyMode                                     0x00114DA0
IsSurvivalMode                                     0x00114DF0
IsCoopMPMode                                       0x00114E10
IsZombiesMode                                      0x00114EF0
IsZombiesShatteredMode                             0x00114F30
SetVlobbyToHub                                     0x00114F70
IsHubMode                                          0x00114FC0
IsRaidMode                                         0x00115000
IsDogfightMode                                     0x00115040
IsDogfightTDMMode                                  0x00115080
IsDogfightFFAMode                                  0x001150C0
IsShadowplayEnabled                                0x00115100
IsMPLaunchFromSP                                   0x00115140
IsSignedIntoNP                                     0x00115170
GetCurrentCoDPlayMode                              0x00115190
SwitchToCoreMode                                   0x001151D0
IsPS3                                              0x00115210
IsPS4                                              0x001152F0
IsVita                                             0x00115310
IsWiiU                                             0x00115330
IsXbox360                                          0x00115350
IsPCCG                                             0x00115370
IsCurrentGen                                       0x00115390
IsXB3                                              0x001153B0
IsPC                                               0x001153D0
IsGDK                                              0x001153F0
IsSteam                                            0x00115410
IsPCDualshock                                      0x00115430
GetAvailableGpadPorts                              0x001155B0
GetAvailableGpadPorts1                             0x00115690
GetAvailableGpadPorts2                             0x001156A0
UpdateGpad                                         0x001156B0
